tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-02 10:43:33	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T7	2.5	204.2	None	g	-52.6	4.16e-08	7	8	1.07e-09	1.3300000000000002e-09	7.620000000000001e-10	u	273	0	0	0.0	0.0	723.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-03 17:41:52	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T8	2.9	201.6	None	g	-52.2	4.16e-08	8	8	9.120000000000001e-10	1.87e-09	8.06e-10	u	273	0	0	0.0	0.0	748.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-04 14:18:15	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T9	2.6	201.1	None	g	-52.6	4.1100000000000004e-08	9	8	1.2800000000000001e-09	1.2800000000000001e-09	7.96e-10	u	273	0	0	0.0	0.0	773.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-07 11:21:20	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T10	2.6	198.7	None	g	-53.0	4.08e-08	10	8	9.65e-10	1.36e-09	8.51e-10	u	273	0	0	0.0	0.0	798.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-08 10:34:56	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T11	1.9	199.4	None	g	-53.5	4.04e-08	11	8	9.48e-10	8e-10	8.48e-10	u	273	0	0	0.0	0.0	823.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-09 10:26:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T12	1.7	199.0	None	g	-53.2	4.07e-08	12	8	8.42e-10	6.93e-10	7.51e-10	u	273	0	0	0.0	0.0	828.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-16 11:53:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T13	1.8	197.7	None	g	-53.1	3.98e-08	13	8	9.49e-10	7.979999999999999e-10	6.769999999999999e-10	u	273	0	0	0.0	0.0	833.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-16 20:12:33	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T14	1.9	197.4	None	g	-53.1	3.92e-08	14	8	1.02e-09	7.580000000000001e-10	7.059999999999999e-10	u	273	0	0	0.0	0.0	838.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-17 16:56:14	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T15	2.0	197.8	None	g	-52.9	3.9e-08	15	8	1.01e-09	7.43e-10	7.109999999999999e-10	u	273	0	0	0.0	0.0	843.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-18 12:35:53	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T16	2.0	198.9	None	g	-52.6	3.87e-08	16	8	1.0300000000000002e-09	6.97e-10	7.01e-10	u	273	0	0	0.0	0.0	848.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-21 09:52:21	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T17	1.9	197.1	None	g	-52.4	3.83e-08	17	8	9.83e-10	7.349999999999999e-10	6.29e-10	u	273	0	0	0.0	0.0	853.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-21 18:39:04	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T18	1.9	196.6	None	g	-52.7	3.72e-08	18	8	9.27e-10	6.93e-10	6.700000000000001e-10	u	273	0	0	0.0	0.0	873.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-22 17:39:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T19	1.9	197.3	None	g	-52.6	3.61e-08	19	8	9.18e-10	6.43e-10	6.110000000000001e-10	u	273	0	0	0.0	0.0	893.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-23 16:40:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T20	2.3	198.1	None	g	-52.3	3.52e-08	20	8	8.690000000000002e-10	9.919999999999999e-10	7.280000000000001e-10	u	273	0	0	0.0	0.0	903.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-24 13:22:10	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T21	3.1	198.0	None	g	-53.5	3.46e-08	21	8	1.06e-09	1.5e-09	5.95e-10	u	273	0	0	0.0	0.0	913.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-25 09:39:57	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T22	2.0	196.9	None	g	-52.3	3.39e-08	22	8	8.96e-10	6.5e-10	5.26e-10	u	273	0	0	0.0	0.0	918.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-29 12:28:13	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T23	2.4	195.2	None	g	-53.2	3.35e-08	23	8	9.84e-10	7.93e-10	6.78e-10	u	273	0	0	0.0	0.0	923.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-08-30 08:57:37	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T24	2.2	194.8	None	g	-52.8	3.33e-08	24	8	7.18e-10	1.0300000000000002e-09	4.29e-10	u	273	0	0	0.0	0.0	928.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-01 22:23:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T25	2.2	196.5	None	g	-53.1	3.34e-08	25	8	8.95e-10	8.34e-10	5.65e-10	u	273	0	0	0.0	0.0	933.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-10 14:49:25	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T26	1.8	195.6	None	g	-53.9	3.3e-08	26	8	6.02e-10	6.900000000000001e-10	5.899999999999999e-10	u	273	0	0	0.0	0.0	938.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-12 21:01:39	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T27	1.9	195.1	None	g	-53.8	3.3e-08	27	8	7.01e-10	6.759999999999999e-10	6.03e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-15 13:26:01	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T28	2.2	195.9	None	g	-53.8	3.25e-08	28	8	7.530000000000001e-10	8.43e-10	6.55e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-16 20:10:08	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T29	2.3	195.4	None	g	-54.1	3.25e-08	29	8	1.02e-09	7.920000000000001e-10	5.78e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-19 22:28:38	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T30	2.6	194.9	None	g	-54.1	3.15e-08	30	8	8.110000000000001e-10	1.07e-09	5.3e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-23 14:28:37	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T31	2.9	197.7	None	g	-54.2	3.11e-08	31	8	9.3e-10	1.16e-09	6.01e-10	u	273	0	0	0.0	0.0	951.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-24 21:01:33	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T32	3.1	195.5	None	g	-53.0	2.44e-08	32	8	7.18e-10	1e-09	5.62e-10	u	273	0	0	0.0	0.0	953.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-09-26 14:53:12	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T33	2.6	192.3	None	g	-53.2	1.52e-08	33	8	4.1799999999999995e-10	3.07e-10	6e-10	u	273	0	0	0.0	0.0	955.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-01 14:56:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T34	3.1	192.9	None	g	-58.9	1.04e-08	34	8	3.8100000000000003e-10	3.8e-10	2.6100000000000003e-10	u	273	0	0	0.0	0.0	957.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-02 15:00:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T35	3.2	186.0	None	g	-58.8	9.44e-09	35	8	3.13e-10	3.2399999999999997e-10	3.8899999999999995e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-03 18:03:14	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T36	5.1	190.4	None	g	-54.8	3.1e-09	36	8	1.52e-10	2.0899999999999998e-10	1.41e-10	u	273	0	0	0.0	0.0	961.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-06 09:01:45	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T37	4.4	190.8	None	g	-45.8	2.99e-09	37	8	9.83e-11	1.55e-10	2.0500000000000002e-10	u	273	0	0	0.0	0.0	963.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-08 11:49:11	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T38	19.9	237.4	None	g	-37.7	5.09e-10	38	8	4.45e-11	5.87e-11	1.95e-10	u	273	0	0	0.0	0.0	965.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-08 13:07:18	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T39	20.1	237.1	None	g	-36.8	4.979999999999999e-10	39	8	5.51e-11	5.41e-11	1.89e-10	u	273	0	0	0.0	0.0	965.0
None	This study	Hongzixi	TR006-Z	TR006	TR006-Za	TR006-Za:LP-DIR-T	hargrave 2017-10-08 13:42:13	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR006-Za:LP-DIR-T40	19.5	235.6	None	g	-20.4	4.0999999999999993e-10	40	8	4.71e-11	5.84e-11	1.32e-10	u	273	0	0	0.0	0.0	965.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-07-20 16:46:49	LT-NO:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T1	1.7	204.1	None	g	-11.0	5.7400000000000004e-08	1	8	1.14e-09	1.0499999999999999e-09	1.1e-09	u	273	0	0	0.0	0.0	273.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-07-21 16:25:22	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T2	1.8	207.5	None	g	-12.5	5.5599999999999995e-08	2	8	7.18e-10	1.57e-09	9.95e-10	u	273	0	0	0.0	0.0	373.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-07-24 12:07:10	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T3	2.4	206.7	None	g	-12.7	5.530000000000001e-08	3	8	1.59e-09	1.82e-09	9.5e-10	u	273	0	0	0.0	0.0	473.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-07-25 09:12:57	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T4	3.0	205.2	None	g	-12.7	5.450000000000001e-08	4	8	1.7300000000000004e-09	2.35e-09	8.37e-10	u	273	0	0	0.0	0.0	573.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-07-31 15:46:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T5	1.5	206.5	None	g	-13.5	5.32e-08	5	8	6.610000000000001e-10	8.690000000000002e-10	1.06e-09	u	273	0	0	0.0	0.0	623.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-01 13:56:18	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T6	1.7	206.8	None	g	-14.1	5.17e-08	6	8	2.36e-10	1.15e-09	1.0300000000000002e-09	u	273	0	0	0.0	0.0	673.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-03 13:02:14	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T7	1.7	208.0	None	g	-14.2	5.1500000000000005e-08	7	8	8.22e-10	1.32e-09	7.47e-10	u	273	0	0	0.0	0.0	723.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-04 09:38:56	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T8	1.2	207.9	None	g	-14.1	5.08e-08	8	8	8.76e-10	8.38e-10	7.610000000000001e-10	u	273	0	0	0.0	0.0	748.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-04 16:36:39	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T9	1.3	207.4	None	g	-14.4	4.9900000000000003e-08	9	8	9.81e-10	9.01e-10	7.630000000000001e-10	u	273	0	0	0.0	0.0	773.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-07 15:12:05	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T10	1.2	208.1	None	g	-14.3	4.79e-08	10	8	7.41e-10	5.45e-10	7.7e-10	u	273	0	0	0.0	0.0	798.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-08 14:31:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T11	2.7	208.7	None	g	-14.1	4.8e-08	11	8	4.220000000000001e-09	8.13e-10	7.630000000000001e-10	u	273	0	0	0.0	0.0	823.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-09 13:53:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T12	1.4	208.3	None	b	-14.7	4.6799999999999996e-08	12	8	5.55e-10	1.0800000000000002e-09	2.9100000000000003e-10	u	273	0	0	0.0	0.0	828.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-09 15:17:53	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T13	65.0	207.2	None	b	-14.8	2.33e-08	13	8	2.14e-08	1.1000000000000001e-08	6.3900000000000005e-09	u	273	0	0	0.0	0.0	828.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-10 08:45:39	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T14	1.5	207.8	None	g	-14.3	4.59e-08	14	8	6.04e-10	8.92e-10	8.450000000000002e-10	u	273	0	0	0.0	0.0	828.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-16 14:19:05	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T15	1.4	207.4	None	g	-14.5	4.53e-08	15	8	6.06e-10	7.59e-10	8.490000000000002e-10	u	273	0	0	0.0	0.0	833.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-17 11:09:33	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T16	1.8	209.3	None	g	-14.3	4.5e-08	16	8	5.34e-10	1.16e-09	8.269999999999999e-10	u	273	0	0	0.0	0.0	838.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-17 20:24:17	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T17	1.3	209.2	None	g	-13.8	4.42e-08	17	8	4.77e-10	6.98e-10	7.939999999999999e-10	u	273	0	0	0.0	0.0	843.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-18 16:03:43	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T18	3.4	210.4	None	g	-13.7	4.36e-08	18	8	1.0300000000000002e-09	2.27e-09	8.069999999999999e-10	u	273	0	0	0.0	0.0	848.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-21 13:06:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T19	1.6	209.1	None	g	-13.8	4.32e-08	19	8	4.38e-10	9.279999999999999e-10	7.399999999999999e-10	u	273	0	0	0.0	0.0	853.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-22 12:09:40	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T20	1.5	208.9	None	g	-13.2	4.27e-08	20	8	3.9100000000000005e-10	8.08e-10	7.93e-10	u	273	0	0	0.0	0.0	873.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-23 11:10:08	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T21	1.9	207.9	None	g	-13.9	4.0899999999999996e-08	21	8	6.400000000000001e-10	9.919999999999999e-10	8.200000000000001e-10	u	273	0	0	0.0	0.0	893.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-24 07:41:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T22	2.0	206.5	None	g	-12.4	4e-08	22	8	7.41e-10	8.71e-10	8.790000000000002e-10	u	273	0	0	0.0	0.0	903.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-24 15:51:09	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T23	2.5	209.1	None	g	-12.9	4.1100000000000004e-08	23	8	7.04e-10	1.4199999999999999e-09	9.43e-10	u	273	0	0	0.0	0.0	913.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-25 13:54:54	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T24	1.7	201.5	None	g	-13.9	3.7400000000000004e-08	24	8	4.48e-10	7.939999999999999e-10	7.979999999999999e-10	u	273	0	0	0.0	0.0	918.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-08-29 15:09:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T25	1.4	214.2	None	g	-11.8	4.05e-08	25	8	3.1e-10	6.35e-10	7.630000000000001e-10	u	273	0	0	0.0	0.0	923.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-01 15:12:00	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T26	2.1	205.3	None	g	-13.5	3.7400000000000004e-08	26	8	4.880000000000001e-10	1.15e-09	6.38e-10	u	273	0	0	0.0	0.0	928.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-08 17:38:09	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T27	3.5	200.6	None	g	-17.5	3.53e-08	27	8	6.69e-10	2.02e-09	7.18e-10	u	273	0	0	0.0	0.0	933.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-12 14:13:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T28	5.2	182.6	None	g	-31.5	1.63e-08	28	8	5.91e-10	1.23e-09	8.17e-10	u	273	0	0	0.0	0.0	938.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-12 16:32:11	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T29	31.7	178.2	None	b	0.3	1.3600000000000001e-08	29	8	6.759999999999999e-10	3.05e-10	8.409999999999999e-09	u	273	0	0	0.0	0.0	938.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-12 17:05:17	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T30	4.3	184.4	None	b	-32.0	1.59e-08	30	8	6.130000000000001e-10	1.0400000000000001e-09	7.96e-10	u	273	0	0	0.0	0.0	938.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-14 17:42:02	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T31	5.8	188.8	None	b	-9.6	1.88e-08	31	8	3.6400000000000004e-10	1.9e-09	6.360000000000001e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-15 09:06:16	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T32	2.8	188.7	None	g	-9.7	1.81e-08	32	8	4.79e-10	7.18e-10	6.3e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-15 18:06:42	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T33	5.9	171.0	None	b	-12.0	1.1699999999999999e-08	33	8	5.510000000000001e-10	1.0499999999999999e-09	5.99e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-16 15:38:54	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T34	16.8	166.4	None	b	-26.0	1.1200000000000001e-08	34	8	9.26e-10	3.88e-10	3.3399999999999996e-09	u	273	0	0	0.0	0.0	945.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-16 16:16:55	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T35	5.4	171.1	None	g	-14.3	1.1100000000000002e-08	35	8	5.78e-10	8.54e-10	6.110000000000001e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-19 13:41:35	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T36	5.0	181.8	None	b	-6.7	1.23e-08	36	8	4.66e-10	9.32e-10	5.5e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-19 17:57:34	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T37	4.0	183.7	None	b	-6.9	1.1699999999999999e-08	37	8	5.07e-10	6.64e-10	5.269999999999999e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-22 15:53:58	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T38	7.5	122.4	None	b	6.8	7.68e-09	38	8	5.55e-10	8.210000000000001e-10	6.23e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-22 18:07:33	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T39	6.5	123.9	None	b	7.6	7.2400000000000015e-09	39	8	4.51e-10	4.1599999999999996e-10	6.610000000000001e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Hongzixi	TR008-A	TR008	TR008-Aa	TR008-Aa:LP-DIR-T	hargrave 2017-09-24 13:49:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR008-Aa:LP-DIR-T40	7.5	151.4	None	b	-10.5	7.73e-09	40	8	3.59e-10	7.349999999999999e-10	6.990000000000001e-10	u	273	0	0	0.0	0.0	951.0
